algorithm;timed out;problem instance;average probability of being unavailable at any given time slot;constraint violation cost;formulation;maximum random cost of being unavailable at any given time slot;number of agents;number of agents per meeting;number of meetings;number of time slots;target probability of being unavailable at any given time slot;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;randomMeetingScheduling_1548911268278;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;24;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911268278;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16151;809;1;0;0
DPOP;0;randomMeetingScheduling_1548911268905;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;37;13;3531;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911268905;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;65;1808;31921;2328;2;0;0
DPOP;0;randomMeetingScheduling_1548911269644;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;56;17;9074;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911269644;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;144;2715;157120;99473;4;0;0
DPOP;0;randomMeetingScheduling_1548911270561;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;43;20;9590;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911270561;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;226;3620;173411;99485;4;0;0
DPOP;0;randomMeetingScheduling_1548911271692;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;118;30;89320;42466;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911271692;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;645;4521;325918;99486;4;0;0
DPOP;0;randomMeetingScheduling_1548911273512;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;286;26;354171;314893;5;0;0
P-DPOP;0;randomMeetingScheduling_1548911273512;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;25237;5424;5238149;5074615;6;0;0
DPOP;0;randomMeetingScheduling_1548911303230;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911303230;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;37;905;16213;810;1;0;0
DPOP;0;randomMeetingScheduling_1548911303844;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;31;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911303844;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;53;1810;32416;812;1;0;0
DPOP;0;randomMeetingScheduling_1548911304534;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;39;20;6725;1232;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911304534;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;62;2713;50979;2532;2;0;0
DPOP;0;randomMeetingScheduling_1548911305344;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;44;20;9598;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911305344;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;374;3618;758359;634891;5;0;0
DPOP;0;randomMeetingScheduling_1548911306673;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;56;22;10516;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911306673;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1405;4519;87157;11623;3;0;0
