algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;partyProblem_1548913678763;pure Nash;0.0;1;5;0.4;3;0;31;40;8612;450;2;0;0
P-DPOP;0;partyProblem_1548913678763;pure Nash;0.0;1;5;0.4;3;0;65;7236;119927;642;3;0;0
DPOP;0;partyProblem_1548913679782;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913679782;pure Nash;0.0;1;6;0.3333333333333333;3;0;58;9046;152358;1272;6;0;0
DPOP;0;partyProblem_1548913680861;pure Nash;0.0;1;7;0.2857142857142857;3;0;35;63;13405;450;2;0;0
P-DPOP;0;partyProblem_1548913680861;pure Nash;0.0;1;7;0.2857142857142857;3;0;50;10850;177963;642;2;0;0
DPOP;0;partyProblem_1548913682127;pure Nash;0.0;1;2;1.0;1;0;30;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548913682127;pure Nash;0.0;1;2;1.0;1;0;43;1808;29535;641;2;0;0
DPOP;0;partyProblem_1548913682810;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4302;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913682810;pure Nash;0.0;1;3;0.6666666666666666;2;0;57;3618;59964;629;3;infinity;infinity
DPOP;0;partyProblem_1548913683651;pure Nash;0.0;1;4;0.5;2;0;32;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913683651;pure Nash;0.0;1;4;0.5;2;0;48;5426;89529;642;2;0;0
DPOP;0;partyProblem_1548913684544;pure Nash;0.0;1;5;0.4;3;0;34;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913684544;pure Nash;0.0;1;5;0.4;3;0;57;7236;120323;690;4;0;0
DPOP;0;partyProblem_1548913685662;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;51;10832;450;2;0;0
P-DPOP;0;partyProblem_1548913685662;pure Nash;0.0;1;6;0.3333333333333333;3;0;52;9042;149141;690;4;0;0
DPOP;0;partyProblem_1548913686794;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;63;13413;450;2;0;0
P-DPOP;0;partyProblem_1548913686794;pure Nash;0.0;1;7;0.2857142857142857;3;0;69;10852;179270;790;4;0;0
DPOP;0;partyProblem_1548913687994;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913687994;pure Nash;0.0;1;2;1.0;1;0;42;1808;29518;642;2;0;0
DPOP;0;partyProblem_1548913688798;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913688798;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3618;59962;641;3;0;0
DPOP;0;partyProblem_1548913689688;pure Nash;0.0;1;4;0.5;2;0;30;30;6452;450;2;0;0
P-DPOP;0;partyProblem_1548913689688;pure Nash;0.0;1;4;0.5;2;0;58;5426;89585;642;3;0;0
DPOP;0;partyProblem_1548913690700;pure Nash;0.0;1;5;0.4;3;0;30;40;8614;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913690700;pure Nash;0.0;1;5;0.4;3;0;51;7236;120381;790;4;infinity;infinity
DPOP;0;partyProblem_1548913691720;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10790;450;2;0;0
P-DPOP;0;partyProblem_1548913691720;pure Nash;0.0;1;6;0.3333333333333333;3;0;57;9044;149725;690;4;0;0
DPOP;0;partyProblem_1548913692870;pure Nash;0.0;1;7;0.2857142857142857;3;0;35;63;13381;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913692870;pure Nash;0.0;1;7;0.2857142857142857;3;0;58;10852;179289;690;4;infinity;infinity
DPOP;0;partyProblem_1548913694191;pure Nash;0.0;1;2;1.0;1;0;30;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913694191;pure Nash;0.0;1;2;1.0;1;0;44;1808;29512;642;2;0;0
DPOP;0;partyProblem_1548913694873;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913694873;pure Nash;0.0;1;3;0.6666666666666666;2;0;65;3616;59072;642;2;0;0
DPOP;0;partyProblem_1548913695688;pure Nash;0.0;1;4;0.5;2;0;31;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913695688;pure Nash;0.0;1;4;0.5;2;0;49;5428;91143;642;3;0;0
DPOP;0;partyProblem_1548913696597;pure Nash;0.0;1;5;0.4;3;0;31;40;8616;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913696597;pure Nash;0.0;1;5;0.4;3;0;66;7236;119669;642;3;infinity;infinity
DPOP;0;partyProblem_1548913697642;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10784;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913697642;pure Nash;0.0;1;6;0.3333333333333333;3;0;53;9046;151388;840;4;infinity;infinity
DPOP;0;partyProblem_1548913698715;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13431;450;2;0;0
P-DPOP;0;partyProblem_1548913698715;pure Nash;0.0;1;7;0.2857142857142857;3;0;69;10852;179514;790;4;0;0
DPOP;0;partyProblem_1548913699912;pure Nash;0.0;1;2;1.0;1;0;32;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913699912;pure Nash;0.0;1;2;1.0;1;0;43;1810;30251;538;2;0;0
DPOP;0;partyProblem_1548913700603;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913700603;pure Nash;0.0;1;3;0.6666666666666666;2;0;59;3618;60380;690;4;0;0
DPOP;0;partyProblem_1548913701431;pure Nash;0.0;1;4;0.5;2;0;32;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913701431;pure Nash;0.0;1;4;0.5;2;0;55;5428;90479;642;3;0;0
DPOP;0;partyProblem_1548913702384;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913702384;pure Nash;0.0;1;5;0.4;3;0;53;7236;120278;642;3;0;0
DPOP;0;partyProblem_1548913703548;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913703548;pure Nash;0.0;1;6;0.3333333333333333;3;0;60;9048;153882;1272;6;0;0
DPOP;0;partyProblem_1548913704588;pure Nash;0.0;1;7;0.2857142857142857;3;0;30;63;13417;450;2;0;0
P-DPOP;0;partyProblem_1548913704588;pure Nash;0.0;1;7;0.2857142857142857;3;0;57;10852;180052;790;4;0;0
DPOP;0;partyProblem_1548913705804;pure Nash;0.0;1;2;1.0;1;0;30;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548913705804;pure Nash;0.0;1;2;1.0;1;0;49;1808;29499;640;2;infinity;infinity
DPOP;0;partyProblem_1548913706509;pure Nash;0.0;1;3;0.6666666666666666;2;0;30;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913706509;pure Nash;0.0;1;3;0.6666666666666666;2;0;55;3618;60097;666;3;0;0
DPOP;0;partyProblem_1548913707337;pure Nash;0.0;1;4;0.5;2;0;32;30;6468;450;2;0;0
P-DPOP;0;partyProblem_1548913707337;pure Nash;0.0;1;4;0.5;2;0;48;5426;89720;667;3;0;0
DPOP;0;partyProblem_1548913708238;pure Nash;0.0;1;5;0.4;3;0;33;40;8614;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913708238;pure Nash;0.0;1;5;0.4;3;0;55;7234;119331;690;4;infinity;infinity
DPOP;0;partyProblem_1548913709350;pure Nash;0.0;1;6;0.3333333333333333;3;0;35;50;10790;450;2;0;0
P-DPOP;0;partyProblem_1548913709350;pure Nash;0.0;1;6;0.3333333333333333;3;0;55;9044;150080;840;4;0;0
DPOP;0;partyProblem_1548913710517;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13415;450;2;0;0
P-DPOP;0;partyProblem_1548913710517;pure Nash;0.0;1;7;0.2857142857142857;3;0;67;10848;177334;667;2;0;0
DPOP;0;partyProblem_1548913711774;pure Nash;0.0;1;2;1.0;1;0;33;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913711774;pure Nash;0.0;1;2;1.0;1;0;46;1810;30367;537;2;0;0
DPOP;0;partyProblem_1548913712494;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913712494;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3620;60819;629;3;infinity;infinity
DPOP;0;partyProblem_1548913713359;pure Nash;0.0;1;4;0.5;2;0;32;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548913713359;pure Nash;0.0;1;4;0.5;2;0;49;5424;88462;667;2;0;0
DPOP;0;partyProblem_1548913714332;pure Nash;0.0;1;5;0.4;3;0;31;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913714332;pure Nash;0.0;1;5;0.4;3;0;51;7232;117868;642;2;0;0
DPOP;0;partyProblem_1548913715430;pure Nash;0.0;1;6;0.3333333333333333;3;0;30;51;10832;450;2;0;0
P-DPOP;0;partyProblem_1548913715430;pure Nash;0.0;1;6;0.3333333333333333;3;0;61;9044;150216;788;4;0;0
DPOP;0;partyProblem_1548913716532;pure Nash;0.0;1;7;0.2857142857142857;3;0;40;63;13373;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913716532;pure Nash;0.0;1;7;0.2857142857142857;3;0;68;10850;178240;790;4;infinity;infinity
DPOP;0;partyProblem_1548913717828;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913717828;pure Nash;0.0;1;2;1.0;1;0;45;1810;30392;538;2;0;0
DPOP;0;partyProblem_1548913718599;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913718599;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3618;60073;642;2;0;0
DPOP;0;partyProblem_1548913719533;pure Nash;0.0;1;4;0.5;2;0;33;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913719533;pure Nash;0.0;1;4;0.5;2;0;57;5426;89576;642;3;0;0
DPOP;0;partyProblem_1548913720527;pure Nash;0.0;1;5;0.4;3;0;34;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913720527;pure Nash;0.0;1;5;0.4;3;0;63;7232;118021;642;2;0;0
DPOP;0;partyProblem_1548913721651;pure Nash;0.0;1;6;0.3333333333333333;3;0;42;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913721651;pure Nash;0.0;1;6;0.3333333333333333;3;0;59;9044;149566;790;4;0;0
DPOP;0;partyProblem_1548913722860;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13415;450;2;0;0
P-DPOP;0;partyProblem_1548913722860;pure Nash;0.0;1;7;0.2857142857142857;3;0;57;10850;179129;789;4;0;0
DPOP;0;partyProblem_1548913724062;pure Nash;0.0;1;2;1.0;1;0;30;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913724062;pure Nash;0.0;1;2;1.0;1;0;47;1810;30343;536;2;0;0
DPOP;0;partyProblem_1548913724765;pure Nash;0.0;1;3;0.6666666666666666;2;0;34;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913724765;pure Nash;0.0;1;3;0.6666666666666666;2;0;58;3618;60153;642;3;0;0
DPOP;0;partyProblem_1548913725674;pure Nash;0.0;1;4;0.5;2;0;32;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913725674;pure Nash;0.0;1;4;0.5;2;0;64;5424;88478;642;2;0;0
DPOP;0;partyProblem_1548913726670;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913726670;pure Nash;0.0;1;5;0.4;3;0;62;7236;120420;790;4;0;0
DPOP;0;partyProblem_1548913727691;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10760;450;2;0;0
P-DPOP;0;partyProblem_1548913727691;pure Nash;0.0;1;6;0.3333333333333333;3;0;51;9040;147643;642;2;0;0
DPOP;0;partyProblem_1548913728923;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13423;450;2;0;0
P-DPOP;0;partyProblem_1548913728923;pure Nash;0.0;1;7;0.2857142857142857;3;0;61;10852;179935;789;4;0;0
DPOP;0;partyProblem_1548913730154;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913730154;pure Nash;0.0;1;2;1.0;1;0;44;1808;29556;641;2;0;0
DPOP;0;partyProblem_1548913730853;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913730853;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3616;59060;641;2;0;0
DPOP;0;partyProblem_1548913731678;pure Nash;0.0;1;4;0.5;2;0;31;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913731678;pure Nash;0.0;1;4;0.5;2;0;54;5426;89979;690;4;0;0
DPOP;0;partyProblem_1548913732607;pure Nash;0.0;1;5;0.4;3;0;37;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913732607;pure Nash;0.0;1;5;0.4;3;0;65;7234;118788;642;2;0;0
DPOP;0;partyProblem_1548913733736;pure Nash;0.0;1;6;0.3333333333333333;3;0;38;51;10840;450;2;0;0
P-DPOP;0;partyProblem_1548913733736;pure Nash;0.0;1;6;0.3333333333333333;3;0;74;9042;149145;790;4;0;0
DPOP;0;partyProblem_1548913734942;pure Nash;0.0;1;7;0.2857142857142857;3;0;35;63;13413;450;2;0;0
P-DPOP;0;partyProblem_1548913734942;pure Nash;0.0;1;7;0.2857142857142857;3;0;58;10852;181189;1272;6;0;0
DPOP;0;partyProblem_1548913736158;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913736158;pure Nash;0.0;1;2;1.0;1;0;42;1810;30333;538;2;0;0
DPOP;0;partyProblem_1548913736845;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913736845;pure Nash;0.0;1;3;0.6666666666666666;2;0;58;3618;60130;642;3;0;0
DPOP;0;partyProblem_1548913737761;pure Nash;0.0;1;4;0.5;2;0;37;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913737761;pure Nash;0.0;1;4;0.5;2;0;51;5424;88539;642;2;0;0
DPOP;0;partyProblem_1548913738701;pure Nash;0.0;1;5;0.4;3;0;32;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913738701;pure Nash;0.0;1;5;0.4;3;0;59;7232;118079;642;2;0;0
DPOP;0;partyProblem_1548913739831;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913739831;pure Nash;0.0;1;6;0.3333333333333333;3;0;58;9042;148149;642;2;0;0
DPOP;0;partyProblem_1548913741084;pure Nash;0.0;1;7;0.2857142857142857;3;0;40;64;13601;450;3;0;0
P-DPOP;0;partyProblem_1548913741084;pure Nash;0.0;1;7;0.2857142857142857;3;0;71;10854;180572;790;4;0;0
DPOP;0;partyProblem_1548913742401;pure Nash;0.0;1;2;1.0;1;0;31;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548913742401;pure Nash;0.0;1;2;1.0;1;0;44;1808;29467;641;2;0;0
DPOP;0;partyProblem_1548913743167;pure Nash;0.0;1;3;0.6666666666666666;2;0;32;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913743167;pure Nash;0.0;1;3;0.6666666666666666;2;0;59;3616;59137;642;2;0;0
DPOP;0;partyProblem_1548913744001;pure Nash;0.0;1;4;0.5;2;0;34;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913744001;pure Nash;0.0;1;4;0.5;2;0;51;5428;91157;890;5;0;0
DPOP;0;partyProblem_1548913744898;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913744898;pure Nash;0.0;1;5;0.4;3;0;55;7234;119142;642;3;0;0
DPOP;0;partyProblem_1548913746038;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913746038;pure Nash;0.0;1;6;0.3333333333333333;3;0;70;9044;150197;642;3;0;0
DPOP;0;partyProblem_1548913747162;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13603;450;3;0;0
P-DPOP;0;partyProblem_1548913747162;pure Nash;0.0;1;7;0.2857142857142857;3;0;64;10852;179362;790;4;0;0
DPOP;0;partyProblem_1548913748427;pure Nash;0.0;1;2;1.0;1;0;31;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548913748427;pure Nash;0.0;1;2;1.0;1;0;45;1810;30291;538;2;0;0
DPOP;0;partyProblem_1548913749176;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913749176;pure Nash;0.0;1;3;0.6666666666666666;2;0;60;3616;59169;642;2;0;0
DPOP;0;partyProblem_1548913750039;pure Nash;0.0;1;4;0.5;2;0;30;30;6456;450;2;0;0
P-DPOP;0;partyProblem_1548913750039;pure Nash;0.0;1;4;0.5;2;0;49;5428;90468;642;3;0;0
DPOP;0;partyProblem_1548913750941;pure Nash;0.0;1;5;0.4;3;0;36;40;8612;450;2;0;0
P-DPOP;0;partyProblem_1548913750941;pure Nash;0.0;1;5;0.4;3;0;70;7236;122942;1613;7;0;0
DPOP;0;partyProblem_1548913752022;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10780;450;2;0;0
P-DPOP;0;partyProblem_1548913752022;pure Nash;0.0;1;6;0.3333333333333333;3;0;66;9046;150779;790;4;0;0
DPOP;0;partyProblem_1548913753144;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;64;13603;450;3;0;0
P-DPOP;0;partyProblem_1548913753144;pure Nash;0.0;1;7;0.2857142857142857;3;0;64;10852;180471;1071;6;0;0
DPOP;0;partyProblem_1548913754438;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913754438;pure Nash;0.0;1;2;1.0;1;0;42;1810;30379;538;2;0;0
DPOP;0;partyProblem_1548913755189;pure Nash;0.0;1;3;0.6666666666666666;2;0;30;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548913755189;pure Nash;0.0;1;3;0.6666666666666666;2;0;66;3618;60391;690;4;0;0
DPOP;0;partyProblem_1548913756040;pure Nash;0.0;1;4;0.5;2;0;31;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913756040;pure Nash;0.0;1;4;0.5;2;0;51;5426;89437;642;2;0;0
DPOP;0;partyProblem_1548913756920;pure Nash;0.0;1;5;0.4;3;0;31;40;8606;450;2;0;0
P-DPOP;0;partyProblem_1548913756920;pure Nash;0.0;1;5;0.4;3;0;62;7238;121718;789;4;0;0
DPOP;0;partyProblem_1548913757966;pure Nash;0.0;1;6;0.3333333333333333;3;0;40;50;10768;450;2;0;0
P-DPOP;0;partyProblem_1548913757966;pure Nash;0.0;1;6;0.3333333333333333;3;0;57;9044;149629;642;3;0;0
DPOP;0;partyProblem_1548913759166;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13407;450;2;0;0
P-DPOP;0;partyProblem_1548913759166;pure Nash;0.0;1;7;0.2857142857142857;3;0;57;10854;180917;790;4;0;0
DPOP;0;partyProblem_1548913760306;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913760306;pure Nash;0.0;1;2;1.0;1;0;43;1810;30361;538;2;0;0
DPOP;0;partyProblem_1548913761004;pure Nash;0.0;1;3;0.6666666666666666;2;0;31;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913761004;pure Nash;0.0;1;3;0.6666666666666666;2;0;61;3620;61120;690;4;0;0
DPOP;0;partyProblem_1548913761914;pure Nash;0.0;1;4;0.5;2;0;34;30;6452;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913761914;pure Nash;0.0;1;4;0.5;2;0;51;5426;89397;641;2;infinity;infinity
DPOP;0;partyProblem_1548913762810;pure Nash;0.0;1;5;0.4;3;0;43;40;8624;450;2;0;0
P-DPOP;0;partyProblem_1548913762810;pure Nash;0.0;1;5;0.4;3;0;54;7236;120328;814;4;0;0
DPOP;0;partyProblem_1548913763924;pure Nash;0.0;1;6;0.3333333333333333;3;0;36;50;10776;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913763924;pure Nash;0.0;1;6;0.3333333333333333;3;0;59;9044;149982;667;3;infinity;infinity
DPOP;0;partyProblem_1548913765076;pure Nash;0.0;1;7;0.2857142857142857;3;0;34;63;13389;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913765076;pure Nash;0.0;1;7;0.2857142857142857;3;0;67;10850;178434;667;3;infinity;infinity
DPOP;0;partyProblem_1548913766277;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913766277;pure Nash;0.0;1;2;1.0;1;0;43;1810;30367;538;2;0;0
DPOP;0;partyProblem_1548913766972;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913766972;pure Nash;0.0;1;3;0.6666666666666666;2;0;56;3616;59074;642;2;0;0
DPOP;0;partyProblem_1548913767757;pure Nash;0.0;1;4;0.5;2;0;28;30;6460;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913767757;pure Nash;0.0;1;4;0.5;2;0;47;5426;89768;641;3;infinity;infinity
DPOP;0;partyProblem_1548913768745;pure Nash;0.0;1;5;0.4;3;0;36;40;8608;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913768745;pure Nash;0.0;1;5;0.4;3;0;56;7232;118128;641;2;infinity;infinity
DPOP;0;partyProblem_1548913769849;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10790;450;2;0;0
P-DPOP;0;partyProblem_1548913769849;pure Nash;0.0;1;6;0.3333333333333333;3;0;69;9044;151406;1096;6;0;0
DPOP;0;partyProblem_1548913770965;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13433;450;2;0;0
P-DPOP;0;partyProblem_1548913770965;pure Nash;0.0;1;7;0.2857142857142857;3;0;50;10850;178138;667;3;0;0
DPOP;0;partyProblem_1548913772197;pure Nash;0.0;1;2;1.0;1;0;30;13;2607;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548913772197;pure Nash;0.0;1;2;1.0;1;0;47;1810;30286;538;2;infinity;infinity
DPOP;0;partyProblem_1548913772920;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913772920;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3616;59043;642;2;0;0
DPOP;0;partyProblem_1548913773751;pure Nash;0.0;1;4;0.5;2;0;29;30;6460;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913773751;pure Nash;0.0;1;4;0.5;2;0;58;5430;92150;891;5;infinity;infinity
DPOP;0;partyProblem_1548913774651;pure Nash;0.0;1;5;0.4;3;0;40;40;8608;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913774651;pure Nash;0.0;1;5;0.4;3;0;58;7238;121235;690;4;infinity;infinity
DPOP;0;partyProblem_1548913775692;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913775692;pure Nash;0.0;1;6;0.3333333333333333;3;0;52;9040;147701;642;2;0;0
DPOP;0;partyProblem_1548913776772;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;64;13601;450;3;0;0
P-DPOP;0;partyProblem_1548913776772;pure Nash;0.0;1;7;0.2857142857142857;3;0;69;10850;178867;790;4;0;0
DPOP;0;partyProblem_1548913778092;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913778092;pure Nash;0.0;1;2;1.0;1;0;43;1808;29514;642;2;0;0
DPOP;0;partyProblem_1548913778805;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913778805;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3616;58971;642;2;0;0
DPOP;0;partyProblem_1548913779645;pure Nash;0.0;1;4;0.5;2;0;32;30;6452;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913779645;pure Nash;0.0;1;4;0.5;2;0;58;5428;90363;629;3;infinity;infinity
DPOP;0;partyProblem_1548913780697;pure Nash;0.0;1;5;0.4;3;0;30;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913780697;pure Nash;0.0;1;5;0.4;3;0;54;7234;118999;642;2;0;0
DPOP;0;partyProblem_1548913781674;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913781674;pure Nash;0.0;1;6;0.3333333333333333;3;0;57;9044;151303;1071;6;0;0
DPOP;0;partyProblem_1548913782811;pure Nash;0.0;1;7;0.2857142857142857;3;0;35;64;13603;450;3;0;0
P-DPOP;0;partyProblem_1548913782811;pure Nash;0.0;1;7;0.2857142857142857;3;0;74;10854;180847;790;4;0;0
DPOP;0;partyProblem_1548913784238;pure Nash;0.0;1;2;1.0;1;0;35;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913784238;pure Nash;0.0;1;2;1.0;1;0;45;1808;29468;642;2;0;0
DPOP;0;partyProblem_1548913784968;pure Nash;0.0;1;3;0.6666666666666666;2;0;31;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913784968;pure Nash;0.0;1;3;0.6666666666666666;2;0;53;3618;60064;642;3;0;0
DPOP;0;partyProblem_1548913785800;pure Nash;0.0;1;4;0.5;2;0;42;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548913785800;pure Nash;0.0;1;4;0.5;2;0;54;5426;89904;642;3;0;0
DPOP;0;partyProblem_1548913786823;pure Nash;0.0;1;5;0.4;3;0;30;40;8614;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913786823;pure Nash;0.0;1;5;0.4;3;0;55;7236;120457;789;4;infinity;infinity
DPOP;0;partyProblem_1548913787858;pure Nash;0.0;1;6;0.3333333333333333;3;0;35;50;10770;450;2;0;0
P-DPOP;0;partyProblem_1548913787858;pure Nash;0.0;1;6;0.3333333333333333;3;0;70;9048;154098;1272;6;0;0
DPOP;0;partyProblem_1548913789063;pure Nash;0.0;1;7;0.2857142857142857;3;0;35;63;13393;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913789063;pure Nash;0.0;1;7;0.2857142857142857;3;0;55;10856;183893;1272;6;infinity;infinity
DPOP;0;partyProblem_1548913790326;pure Nash;0.0;1;2;1.0;1;0;30;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548913790326;pure Nash;0.0;1;2;1.0;1;0;42;1810;30358;538;2;infinity;infinity
DPOP;0;partyProblem_1548913791003;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913791003;pure Nash;0.0;1;3;0.6666666666666666;2;0;46;3618;60104;640;3;0;0
DPOP;0;partyProblem_1548913791797;pure Nash;0.0;1;4;0.5;2;0;36;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913791797;pure Nash;0.0;1;4;0.5;2;0;57;5426;89733;690;4;0;0
