algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;partyProblem_1548913595543;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10774;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913595543;pure Nash;0.0;1;6;0.3333333333333333;3;0;55;9040;147849;666;2;infinity;infinity
DPOP;0;partyProblem_1548913596610;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13389;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913596610;pure Nash;0.0;1;7;0.2857142857142857;3;0;53;10852;179785;667;3;infinity;infinity
DPOP;0;partyProblem_1548913597822;pure Nash;0.0;1;2;1.0;1;0;28;13;2639;447;2;0;0
P-DPOP;0;partyProblem_1548913597822;pure Nash;0.0;1;2;1.0;1;0;43;1810;30343;538;2;0;0
DPOP;0;partyProblem_1548913598500;pure Nash;0.0;1;3;0.6666666666666666;2;0;34;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913598500;pure Nash;0.0;1;3;0.6666666666666666;2;0;46;3618;60039;641;3;0;0
DPOP;0;partyProblem_1548913599354;pure Nash;0.0;1;4;0.5;2;0;31;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913599354;pure Nash;0.0;1;4;0.5;2;0;63;5430;92250;890;5;0;0
DPOP;0;partyProblem_1548913600276;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913600276;pure Nash;0.0;1;5;0.4;3;0;55;7232;118227;642;2;0;0
DPOP;0;partyProblem_1548913601431;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10770;450;2;0;0
P-DPOP;0;partyProblem_1548913601431;pure Nash;0.0;1;6;0.3333333333333333;3;0;55;9044;149315;642;3;0;0
DPOP;0;partyProblem_1548913602615;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13617;450;3;0;0
P-DPOP;0;partyProblem_1548913602615;pure Nash;0.0;1;7;0.2857142857142857;3;0;56;10852;179170;654;3;0;0
DPOP;0;partyProblem_1548913603933;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913603933;pure Nash;0.0;1;2;1.0;1;0;43;1808;29615;640;2;0;0
DPOP;0;partyProblem_1548913604689;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548913604689;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3616;58930;642;2;0;0
DPOP;0;partyProblem_1548913605537;pure Nash;0.0;1;4;0.5;2;0;29;30;6452;450;2;0;0
P-DPOP;0;partyProblem_1548913605537;pure Nash;0.0;1;4;0.5;2;0;46;5426;89735;654;3;0;0
DPOP;0;partyProblem_1548913606418;pure Nash;0.0;1;5;0.4;3;0;31;40;8604;450;2;0;0
P-DPOP;0;partyProblem_1548913606418;pure Nash;0.0;1;5;0.4;3;0;61;7234;118711;690;4;0;0
