algorithm;timed out;problem instance;domain size;max degree;number of disconnected components;number of variables;target density p1;target tightness p2;true average density p1;true average tightness p2;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
AFB;0;randomMaxDisCSP_1548906992934;10;6;1;10;0.4;0.6;0.4;0.6094444444444298;15330;29;6653;290200;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906992934;10;6;1;10;0.4;0.6;0.4;0.6094444444444298;312100;61;108;90663;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906993949;10;6;1;10;0.4;0.7;0.4;0.6833333333333155;191380;83;16650;1649586;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906993949;10;6;1;10;0.4;0.7;0.4;0.6833333333333155;281100;58;108;86555;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906995339;10;7;1;10;0.4;0.8;0.4;0.7994444444444215;1002200;146;53829;6479570;454;0;3;3
DPOP;0;randomMaxDisCSP_1548906995339;10;7;1;10;0.4;0.8;0.4;0.7994444444444215;171100;77;108;90604;40797;4;3;3
AFB;0;randomMaxDisCSP_1548906997665;10;6;1;10;0.4;0.9;0.4;0.897222222222195;2641220;255;133312;17047236;454;0;6;6
DPOP;0;randomMaxDisCSP_1548906997665;10;6;1;10;0.4;0.9;0.4;0.897222222222195;92100;35;109;58135;4573;3;6;6
AFB;0;randomMaxDisCSP_1548907001794;10;8;1;10;0.4;0.99;0.4;0.9916666666666354;232790;98;21580;2312624;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907001794;10;8;1;10;0.4;0.99;0.4;0.9916666666666354;432100;71;108;75081;40797;4;13;13
AFB;0;randomMaxDisCSP_1548907003365;10;8;2;10;0.4;0.4;0.4;0.3955555555555502;2210;18;5715;154993;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907003365;10;8;2;10;0.4;0.4;0.4;0.3955555555555502;64100;34;104;45354;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907004240;10;6;1;10;0.4;0.5;0.4;0.5166666666666561;5180;18;5996;200861;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907004240;10;6;1;10;0.4;0.5;0.4;0.5166666666666561;731100;80;108;159021;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907005214;10;6;1;10;0.4;0.6;0.4;0.603333333333319;29040;28;7097;346638;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907005214;10;6;1;10;0.4;0.6;0.4;0.603333333333319;92100;43;108;47061;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907006171;10;6;1;10;0.4;0.7;0.4;0.7188888888888695;229460;67;15862;1507049;454;0;1;1
DPOP;0;randomMaxDisCSP_1548907006171;10;6;1;10;0.4;0.7;0.4;0.7188888888888695;151100;71;108;86965;40797;4;1;1
AFB;0;randomMaxDisCSP_1548907007516;10;6;2;10;0.4;0.8;0.4;0.8055555555555324;1619090;205;59120;6857043;454;0;4;4
DPOP;0;randomMaxDisCSP_1548907007516;10;6;2;10;0.4;0.8;0.4;0.8055555555555324;721100;75;105;118324;40797;4;4;4
AFB;0;randomMaxDisCSP_1548907010009;10;6;1;10;0.4;0.9;0.4;0.9105555555555278;672730;106;41473;4823970;454;0;6;6
DPOP;0;randomMaxDisCSP_1548907010009;10;6;1;10;0.4;0.9;0.4;0.9105555555555278;62200;37;108;46615;4573;3;6;6
AFB;0;randomMaxDisCSP_1548907011957;10;7;2;10;0.4;0.99;0.4;0.9883333333333022;80250;60;11225;860574;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907011957;10;7;2;10;0.4;0.99;0.4;0.9883333333333022;262100;45;104;85279;40797;4;13;13
AFB;0;randomMaxDisCSP_1548907013090;10;5;1;10;0.4;0.4;0.4;0.40333333333332766;4140;23;6019;203600;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907013090;10;5;1;10;0.4;0.4;0.4;0.40333333333332766;554100;86;108;119043;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907014029;10;8;1;10;0.4;0.5;0.4;0.5055555555555454;10760;27;6511;269853;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907014029;10;8;1;10;0.4;0.5;0.4;0.5055555555555454;52100;32;108;46571;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907014990;10;6;1;10;0.4;0.6;0.4;0.5833333333333198;90490;50;9763;717188;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907014990;10;6;1;10;0.4;0.6;0.4;0.5833333333333198;372100;69;108;86555;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907016149;10;6;1;10;0.4;0.7;0.4;0.6955555555555372;15780;31;6632;283719;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907016149;10;6;1;10;0.4;0.7;0.4;0.6955555555555372;434100;94;108;115865;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907017174;10;5;1;10;0.4;0.8;0.4;0.8033333333333103;779710;132;36168;4165312;454;0;3;3
DPOP;0;randomMaxDisCSP_1548907017174;10;5;1;10;0.4;0.8;0.4;0.8033333333333103;311100;69;108;86528;40797;4;3;3
AFB;0;randomMaxDisCSP_1548907019137;10;6;2;10;0.4;0.9;0.4;0.9049999999999725;576540;132;35053;3790789;454;0;6;6
DPOP;0;randomMaxDisCSP_1548907019137;10;6;2;10;0.4;0.9;0.4;0.9049999999999725;564100;80;104;118254;40797;4;6;6
AFB;0;randomMaxDisCSP_1548907021061;10;6;1;10;0.4;0.99;0.4;0.9872222222221911;429090;101;34391;3909894;454;0;14;14
DPOP;0;randomMaxDisCSP_1548907021061;10;6;1;10;0.4;0.99;0.4;0.9872222222221911;63100;43;110;50813;4573;3;14;14
AFB;0;randomMaxDisCSP_1548907022885;10;7;1;10;0.4;0.4;0.4;0.40666666666666085;4600;25;5846;181168;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907022885;10;7;1;10;0.4;0.4;0.4;0.40666666666666085;32100;30;108;42950;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907023814;10;6;1;10;0.4;0.5;0.4;0.5144444444444339;23920;39;8259;512336;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907023814;10;6;1;10;0.4;0.5;0.4;0.5144444444444339;324100;82;108;79623;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907024877;10;6;1;10;0.4;0.6;0.4;0.6038888888888745;25250;28;6455;262164;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907024877;10;6;1;10;0.4;0.6;0.4;0.6038888888888745;61100;36;108;42953;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907025791;10;6;1;10;0.4;0.7;0.4;0.7105555555555365;74980;46;10200;747459;454;0;1;1
DPOP;0;randomMaxDisCSP_1548907025791;10;6;1;10;0.4;0.7;0.4;0.7105555555555365;62100;48;108;47043;4573;3;1;1
AFB;0;randomMaxDisCSP_1548907026954;10;6;1;10;0.4;0.8;0.4;0.8061111111110879;136390;47;12852;1076680;454;0;3;3
DPOP;0;randomMaxDisCSP_1548907026954;10;6;1;10;0.4;0.8;0.4;0.8061111111110879;632100;84;108;115009;40797;4;3;3
AFB;0;randomMaxDisCSP_1548907028185;10;6;1;10;0.4;0.9;0.4;0.8922222222221953;2841880;277;121800;15671899;454;0;4;4
DPOP;0;randomMaxDisCSP_1548907028185;10;6;1;10;0.4;0.9;0.4;0.8922222222221953;51100;36;108;43381;4573;3;4;4
AFB;0;randomMaxDisCSP_1548907032114;10;7;2;10;0.4;0.99;0.4;0.9905555555555243;4867980;967;271761;35148164;454;0;14;14
DPOP;0;randomMaxDisCSP_1548907032114;10;7;2;10;0.4;0.99;0.4;0.9905555555555243;81100;32;105;49517;4573;3;14;14
AFB;0;randomMaxDisCSP_1548907039431;10;5;1;10;0.4;0.4;0.4;0.418333333333327;3530;19;5883;185488;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907039431;10;5;1;10;0.4;0.4;0.4;0.418333333333327;451100;66;109;123202;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907040377;10;5;1;10;0.4;0.5;0.4;0.48111111111110205;3960;16;5886;186407;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907040377;10;5;1;10;0.4;0.5;0.4;0.48111111111110205;323100;48;108;86528;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907041351;10;6;1;10;0.4;0.6;0.4;0.613888888888874;15440;42;7552;415053;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907041351;10;6;1;10;0.4;0.6;0.4;0.613888888888874;821100;91;108;159039;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907042411;10;7;1;10;0.4;0.7;0.4;0.6966666666666482;354780;90;17389;1713754;454;0;1;1
DPOP;0;randomMaxDisCSP_1548907042411;10;7;1;10;0.4;0.7;0.4;0.6966666666666482;64100;44;108;50310;4573;3;1;1
AFB;0;randomMaxDisCSP_1548907043859;10;6;1;10;0.4;0.8;0.4;0.8016666666666437;3543570;242;107684;13740359;454;0;3;3
DPOP;0;randomMaxDisCSP_1548907043859;10;6;1;10;0.4;0.8;0.4;0.8016666666666437;51100;49;108;43363;4573;3;3;3
AFB;0;randomMaxDisCSP_1548907047426;10;6;1;10;0.4;0.9;0.4;0.9072222222221946;3775410;333;177244;23048838;454;0;7;7
DPOP;0;randomMaxDisCSP_1548907047426;10;6;1;10;0.4;0.9;0.4;0.9072222222221946;52200;38;108;46187;4573;3;7;7
AFB;0;randomMaxDisCSP_1548907052447;10;6;1;10;0.4;0.99;0.4;0.994444444444413;6489060;681;398600;54126268;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907052447;10;6;1;10;0.4;0.99;0.4;0.994444444444413;482100;68;108;130585;40797;4;13;13
AFB;0;randomMaxDisCSP_1548907062221;10;7;2;10;0.4;0.4;0.4;0.3894444444444394;7330;21;5950;184582;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907062221;10;7;2;10;0.4;0.4;0.4;0.3894444444444394;72100;31;104;49425;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907063147;10;7;1;10;0.4;0.5;0.4;0.4994444444444346;13190;33;6372;253648;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907063147;10;7;1;10;0.4;0.5;0.4;0.4994444444444346;122100;50;108;50310;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907064163;10;6;1;10;0.4;0.6;0.4;0.5905555555555417;26580;34;7005;335254;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907064163;10;6;1;10;0.4;0.6;0.4;0.5905555555555417;82100;34;108;46147;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907065178;10;6;1;10;0.4;0.7;0.4;0.6844444444444265;125950;59;12081;995236;454;0;1;1
DPOP;0;randomMaxDisCSP_1548907065178;10;6;1;10;0.4;0.7;0.4;0.6844444444444265;452100;72;108;122797;40797;4;1;1
AFB;0;randomMaxDisCSP_1548907066464;10;6;1;10;0.4;0.8;0.4;0.8066666666666434;1382240;150;54366;6489817;454;0;3;3
DPOP;0;randomMaxDisCSP_1548907066464;10;6;1;10;0.4;0.8;0.4;0.8066666666666434;433100;79;109;78819;40797;4;3;3
AFB;0;randomMaxDisCSP_1548907068834;10;5;1;10;0.4;0.9;0.4;0.9027777777777504;43065150;2388;1074941;147449505;454;0;6;6
DPOP;0;randomMaxDisCSP_1548907068834;10;5;1;10;0.4;0.9;0.4;0.9027777777777504;623100;83;108;163079;40797;4;6;6
AFB;0;randomMaxDisCSP_1548907094997;10;5;1;10;0.4;0.99;0.4;0.9894444444444133;4301950;394;247259;33173201;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907094997;10;5;1;10;0.4;0.99;0.4;0.9894444444444133;872100;107;109;203124;40797;4;13;13
AFB;0;randomMaxDisCSP_1548907101798;10;7;1;10;0.4;0.4;0.4;0.39999999999999447;5830;21;6000;200983;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907101798;10;7;1;10;0.4;0.4;0.4;0.39999999999999447;422100;83;108;75512;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907102768;10;7;1;10;0.4;0.5;0.4;0.5099999999999897;7630;20;6119;217030;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907102768;10;7;1;10;0.4;0.5;0.4;0.5099999999999897;71100;37;109;50365;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907103679;10;5;1;10;0.4;0.6;0.4;0.5972222222222081;143510;55;11499;943300;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907103679;10;5;1;10;0.4;0.6;0.4;0.5972222222222081;662100;91;109;122822;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907104918;10;5;2;10;0.4;0.7;0.4;0.6994444444444259;87990;47;9133;578217;454;0;1;1
DPOP;0;randomMaxDisCSP_1548907104918;10;5;2;10;0.4;0.7;0.4;0.6994444444444259;6352100;309;105;881422;402602;5;1;1
AFB;0;randomMaxDisCSP_1548907106331;10;6;1;10;0.4;0.8;0.4;0.7944444444444217;2212510;244;101988;13056702;454;0;3;3
DPOP;0;randomMaxDisCSP_1548907106331;10;6;1;10;0.4;0.8;0.4;0.7944444444444217;54100;38;109;46685;4573;3;3;3
AFB;0;randomMaxDisCSP_1548907109778;10;6;1;10;0.4;0.9;0.4;0.8966666666666395;15156990;1368;811294;109224862;454;0;6;6
DPOP;0;randomMaxDisCSP_1548907109778;10;6;1;10;0.4;0.9;0.4;0.8966666666666395;652100;82;109;126957;40797;4;6;6
AFB;0;randomMaxDisCSP_1548907129896;10;6;1;10;0.4;0.99;0.4;0.9916666666666354;151810;67;12551;1090269;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907129896;10;6;1;10;0.4;0.99;0.4;0.9916666666666354;381100;80;109;90718;40797;4;13;13
AFB;0;randomMaxDisCSP_1548907131156;10;6;1;10;0.4;0.4;0.4;0.37833333333332875;4130;20;5876;185200;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907131156;10;6;1;10;0.4;0.4;0.4;0.37833333333332875;352100;73;109;123232;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907132113;10;6;2;10;0.4;0.5;0.4;0.497777777777768;3700;24;5823;168448;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907132113;10;6;2;10;0.4;0.5;0.4;0.497777777777768;632100;69;104;157748;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907133131;10;6;1;10;0.4;0.6;0.4;0.603333333333319;35230;38;7308;383961;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907133131;10;6;1;10;0.4;0.6;0.4;0.603333333333319;82100;57;108;50741;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907134165;10;5;1;10;0.4;0.7;0.4;0.6961111111110927;128420;62;12168;1014122;454;0;1;1
DPOP;0;randomMaxDisCSP_1548907134165;10;5;1;10;0.4;0.7;0.4;0.6961111111110927;454100;79;108;119478;40797;4;1;1
AFB;0;randomMaxDisCSP_1548907135377;10;7;2;10;0.4;0.8;0.4;0.7844444444444222;2198570;267;80318;9650847;454;0;3;3
DPOP;0;randomMaxDisCSP_1548907135377;10;7;2;10;0.4;0.8;0.4;0.7844444444444222;352100;77;104;85707;40797;4;3;3
AFB;0;randomMaxDisCSP_1548907138521;10;6;1;10;0.4;0.9;0.4;0.9016666666666393;7706750;631;349634;47200151;454;0;7;7
DPOP;0;randomMaxDisCSP_1548907138521;10;6;1;10;0.4;0.9;0.4;0.9016666666666393;452100;68;108;123225;40797;4;7;7
AFB;0;randomMaxDisCSP_1548907147500;10;6;1;10;0.4;0.99;0.4;0.9888888888888577;9006770;1089;639829;88976364;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907147500;10;6;1;10;0.4;0.99;0.4;0.9888888888888577;611100;87;109;123280;40797;4;13;13
AFB;0;randomMaxDisCSP_1548907162945;10;5;1;10;0.4;0.4;0.4;0.40666666666666085;2890;17;5788;173494;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907162945;10;5;1;10;0.4;0.4;0.4;0.40666666666666085;462100;77;108;119058;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907163898;10;6;2;10;0.4;0.5;0.4;0.4944444444444348;14050;25;6186;213659;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907163898;10;6;2;10;0.4;0.5;0.4;0.4944444444444348;732100;76;104;117358;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907164855;10;6;1;10;0.4;0.6;0.4;0.6049999999999855;30170;41;7524;400825;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907164855;10;6;1;10;0.4;0.6;0.4;0.6049999999999855;84100;43;108;42921;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907165874;10;5;1;10;0.4;0.7;0.4;0.7127777777777586;217950;65;15978;1514552;454;0;1;1
DPOP;0;randomMaxDisCSP_1548907165874;10;5;1;10;0.4;0.7;0.4;0.7127777777777586;441100;70;112;162930;40797;4;1;1
AFB;0;randomMaxDisCSP_1548907167242;10;5;1;10;0.4;0.8;0.4;0.7977777777777549;107440;57;11138;868508;454;0;2;2
DPOP;0;randomMaxDisCSP_1548907167242;10;5;1;10;0.4;0.8;0.4;0.7977777777777549;821100;101;108;159455;40797;4;2;2
AFB;0;randomMaxDisCSP_1548907168470;10;7;1;10;0.4;0.9;0.4;0.8905555555555287;3560770;394;213131;27897188;454;0;5;5
DPOP;0;randomMaxDisCSP_1548907168470;10;7;1;10;0.4;0.9;0.4;0.8905555555555287;251100;69;108;86980;40797;4;5;5
AFB;0;randomMaxDisCSP_1548907174545;10;5;1;10;0.4;0.99;0.4;0.9899999999999688;7871700;832;638340;86470210;454;0;12;12
DPOP;0;randomMaxDisCSP_1548907174545;10;5;1;10;0.4;0.99;0.4;0.9899999999999688;851100;103;108;203057;40797;4;12;12
AFB;0;randomMaxDisCSP_1548907189780;10;7;1;10;0.4;0.4;0.4;0.41166666666666063;5830;17;6013;202904;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907189780;10;7;1;10;0.4;0.4;0.4;0.41166666666666063;432100;66;108;78336;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907190697;10;5;1;10;0.4;0.5;0.4;0.4938888888888793;7260;20;6023;204659;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907190697;10;5;1;10;0.4;0.5;0.4;0.4938888888888793;471100;75;109;126930;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907191658;10;5;1;10;0.4;0.6;0.4;0.57833333333332;12410;24;6177;224974;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907191658;10;5;1;10;0.4;0.6;0.4;0.57833333333332;554100;93;108;126893;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907192659;10;6;1;10;0.4;0.7;0.4;0.7033333333333146;545580;99;24053;2582580;454;0;1;1
DPOP;0;randomMaxDisCSP_1548907192659;10;6;1;10;0.4;0.7;0.4;0.7033333333333146;551200;75;108;122797;40797;4;1;1
AFB;0;randomMaxDisCSP_1548907194263;10;6;1;10;0.4;0.8;0.4;0.7916666666666441;1126760;165;45337;5409498;454;0;2;2
DPOP;0;randomMaxDisCSP_1548907194263;10;6;1;10;0.4;0.8;0.4;0.7916666666666441;552100;73;108;122797;40797;4;2;2
AFB;0;randomMaxDisCSP_1548907196438;10;5;1;10;0.4;0.9;0.4;0.8988888888888616;4314600;362;201274;26313480;454;0;7;7
DPOP;0;randomMaxDisCSP_1548907196438;10;5;1;10;0.4;0.9;0.4;0.8988888888888616;482100;98;108;122738;40797;4;7;7
AFB;0;randomMaxDisCSP_1548907202103;10;7;1;10;0.4;0.99;0.4;0.9899999999999688;370580;88;23898;2593300;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907202103;10;7;1;10;0.4;0.99;0.4;0.9899999999999688;552100;93;108;119114;40797;4;13;13
AFB;0;randomMaxDisCSP_1548907203774;10;6;2;10;0.4;0.4;0.4;0.38888888888888384;5790;21;5872;174430;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907203774;10;6;2;10;0.4;0.4;0.4;0.38888888888888384;372100;59;104;85644;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907204758;10;7;2;10;0.4;0.5;0.4;0.5122222222222118;8050;27;6163;209904;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907204758;10;7;2;10;0.4;0.5;0.4;0.5122222222222118;84100;41;104;45785;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907205675;10;5;1;10;0.4;0.6;0.4;0.5916666666666528;38430;42;7965;463447;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907205675;10;5;1;10;0.4;0.6;0.4;0.5916666666666528;534100;69;108;159027;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907206797;10;5;1;10;0.4;0.7;0.4;0.6999999999999814;39480;35;7847;443402;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907206797;10;5;1;10;0.4;0.7;0.4;0.6999999999999814;432100;78;108;159425;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907207860;10;6;1;10;0.4;0.8;0.4;0.80833333333331;710900;121;39153;4554924;454;0;3;3
DPOP;0;randomMaxDisCSP_1548907207860;10;6;1;10;0.4;0.8;0.4;0.80833333333331;252100;72;108;83303;40797;4;3;3
AFB;0;randomMaxDisCSP_1548907209831;10;7;1;10;0.4;0.9;0.4;0.9061111111110836;3451450;336;139469;18118927;454;0;6;6
DPOP;0;randomMaxDisCSP_1548907209831;10;7;1;10;0.4;0.9;0.4;0.9061111111110836;62100;48;108;39270;4573;3;6;6
AFB;0;randomMaxDisCSP_1548907214191;10;6;1;10;0.4;0.99;0.4;0.9905555555555243;2803530;423;208858;28937064;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907214191;10;6;1;10;0.4;0.99;0.4;0.9905555555555243;74100;61;108;43381;4573;3;13;13
AFB;0;randomMaxDisCSP_1548907219882;10;7;1;10;0.4;0.4;0.4;0.4061111111111053;2720;18;5948;194278;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907219882;10;7;1;10;0.4;0.4;0.4;0.4061111111111053;421100;81;109;79247;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907220839;10;6;1;10;0.4;0.5;0.4;0.5122222222222118;11400;23;6200;227689;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907220839;10;6;1;10;0.4;0.5;0.4;0.5122222222222118;521100;68;109;199388;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907221802;10;7;1;10;0.4;0.6;0.4;0.5744444444444313;15670;31;6673;292098;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907221802;10;7;1;10;0.4;0.6;0.4;0.5744444444444313;52100;36;108;42950;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907222737;10;6;1;10;0.4;0.7;0.4;0.6827777777777599;181680;63;12311;1059450;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907222737;10;6;1;10;0.4;0.7;0.4;0.6827777777777599;71100;43;108;50741;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907223983;10;7;1;10;0.4;0.8;0.4;0.8022222222221992;958020;118;44490;5213519;454;0;3;3
DPOP;0;randomMaxDisCSP_1548907223983;10;7;1;10;0.4;0.8;0.4;0.8022222222221992;61100;47;108;46630;4573;3;3;3
AFB;0;randomMaxDisCSP_1548907226032;10;6;1;10;0.4;0.9;0.4;0.9116666666666389;3453310;422;256710;33707804;454;0;7;7
DPOP;0;randomMaxDisCSP_1548907226032;10;6;1;10;0.4;0.9;0.4;0.9116666666666389;302100;70;108;86983;40797;4;7;7
AFB;0;randomMaxDisCSP_1548907233090;10;7;1;10;0.4;0.99;0.4;0.9888888888888577;738180;167;84506;10638830;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907233090;10;7;1;10;0.4;0.99;0.4;0.9888888888888577;262100;74;108;82444;40797;4;13;13
AFB;0;randomMaxDisCSP_1548907235990;10;6;1;10;0.4;0.4;0.4;0.39277777777777256;5610;20;6025;204613;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907235990;10;6;1;10;0.4;0.4;0.4;0.39277777777777256;72100;48;108;46633;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907236914;10;7;1;10;0.4;0.5;0.4;0.5022222222222122;5430;19;5977;198280;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907236914;10;7;1;10;0.4;0.5;0.4;0.5022222222222122;52100;38;108;46630;4573;3;0;0
AFB;0;randomMaxDisCSP_1548907237820;10;5;1;10;0.4;0.6;0.4;0.5788888888888756;138610;58;10713;859711;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907237820;10;5;1;10;0.4;0.6;0.4;0.5788888888888756;542100;84;109;123265;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907239001;10;6;1;10;0.4;0.7;0.4;0.6955555555555372;67290;38;8545;533078;454;0;1;1
DPOP;0;randomMaxDisCSP_1548907239001;10;6;1;10;0.4;0.7;0.4;0.6955555555555372;3572100;266;108;564892;402602;5;1;1
AFB;0;randomMaxDisCSP_1548907240287;10;4;1;10;0.4;0.8;0.4;0.7927777777777552;437430;118;23635;2573027;454;0;2;2
DPOP;0;randomMaxDisCSP_1548907240287;10;4;1;10;0.4;0.8;0.4;0.7927777777777552;524100;65;111;126995;40797;4;2;2
AFB;0;randomMaxDisCSP_1548907242005;10;6;1;10;0.4;0.9;0.4;0.9127777777777499;1444060;193;80852;10031244;454;0;7;7
DPOP;0;randomMaxDisCSP_1548907242005;10;6;1;10;0.4;0.9;0.4;0.9127777777777499;462100;78;108;119085;40797;4;7;7
AFB;0;randomMaxDisCSP_1548907245049;10;6;1;10;0.4;0.99;0.4;0.9927777777777465;299460;97;27406;3065266;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907245049;10;6;1;10;0.4;0.99;0.4;0.9927777777777465;611100;76;108;155747;40797;4;13;13
AFB;0;randomMaxDisCSP_1548907246782;10;6;1;10;0.4;0.4;0.4;0.3933333333333281;5420;21;6108;215616;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907246782;10;6;1;10;0.4;0.4;0.4;0.3933333333333281;422100;70;108;82429;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907247805;10;5;1;10;0.4;0.5;0.4;0.515555555555545;5980;26;5938;193375;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907247805;10;5;1;10;0.4;0.5;0.4;0.515555555555545;444100;90;108;159400;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907248794;10;6;1;10;0.4;0.6;0.4;0.6061111111110966;26900;31;6659;285421;454;0;0;0
DPOP;0;randomMaxDisCSP_1548907248794;10;6;1;10;0.4;0.6;0.4;0.6061111111110966;351100;58;109;86161;40797;4;0;0
AFB;0;randomMaxDisCSP_1548907249850;10;6;2;10;0.4;0.7;0.4;0.6988888888888704;182050;72;14976;1310166;454;0;1;1
DPOP;0;randomMaxDisCSP_1548907249850;10;6;2;10;0.4;0.7;0.4;0.6988888888888704;294100;75;104;82012;40797;4;1;1
AFB;0;randomMaxDisCSP_1548907251208;10;6;1;10;0.4;0.8;0.4;0.80833333333331;492160;92;26865;2907145;454;0;3;3
DPOP;0;randomMaxDisCSP_1548907251208;10;6;1;10;0.4;0.8;0.4;0.80833333333331;522100;70;108;122369;40797;4;3;3
AFB;0;randomMaxDisCSP_1548907252911;10;5;1;10;0.4;0.9;0.4;0.88666666666664;2353420;283;147712;19045972;454;0;5;5
DPOP;0;randomMaxDisCSP_1548907252911;10;5;1;10;0.4;0.9;0.4;0.88666666666664;64100;45;108;50729;4573;3;5;5
AFB;0;randomMaxDisCSP_1548907257406;10;5;1;10;0.4;0.99;0.4;0.9899999999999688;7725650;721;444911;59255194;454;0;13;13
DPOP;0;randomMaxDisCSP_1548907257406;10;5;1;10;0.4;0.99;0.4;0.9899999999999688;242100;62;109;86548;40797;4;13;13
AFB;0;randomMaxDisCSP_1548907268402;10;6;1;10;0.4;0.4;0.4;0.4077777777777719;7480;22;6045;207258;454;0;0;0
