algorithm;timed out;problem instance;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;graphColoring_1548893805310;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;24;52;13528;475;2;0;0
ADOPT;0;graphColoring_1548893805976;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;27;371;29159;456;0;0;0
DPOP;0;graphColoring_1548893805976;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;32;73;18699;475;2;0;0
ADOPT;0;graphColoring_1548893806683;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;34;1326;68820;456;0;infinity;infinity
DPOP;0;graphColoring_1548893806683;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;33;88;23064;680;3;infinity;infinity
ADOPT;0;graphColoring_1548893807455;6;3;1;10;0;0.4;0.0;0.4;0.0;-1;0;0;0;0;0;0;infinity
DPOP;0;graphColoring_1548893807455;6;3;1;10;0;0.4;0.0;0.4;0.0;0;29;108;31908;1399;4;0;0
ADOPT;0;graphColoring_1548893808288;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;22;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893808288;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;24;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548893808912;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;30;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893808912;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548893809548;3;3;1;5;0;0.4;0.0;0.4;0.0;0;24;80;9466;456;0;0;0
DPOP;0;graphColoring_1548893809548;3;3;1;5;0;0.4;0.0;0.4;0.0;0;26;32;7611;417;1;0;0
ADOPT;0;graphColoring_1548893810174;3;3;2;6;0;0.4;0.0;0.4;0.0;0;27;151;14379;456;0;0;0
DPOP;0;graphColoring_1548893810174;3;3;2;6;0;0.4;0.0;0.4;0.0;0;23;41;10251;475;2;0;0
ADOPT;0;graphColoring_1548893810832;5;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;22;237;19936;456;0;0;0
DPOP;0;graphColoring_1548893810832;5;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;23;52;13414;475;2;0;0
ADOPT;0;graphColoring_1548893811490;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;27;966;50609;456;0;0;0
DPOP;0;graphColoring_1548893811490;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;26;73;18670;475;2;0;0
ADOPT;0;graphColoring_1548893812247;5;3;2;9;0;0.4;0.0;0.3888888888888889;0.0;0;37;1010;61265;456;0;0;0
DPOP;0;graphColoring_1548893812247;5;3;2;9;0;0.4;0.0;0.3888888888888889;0.0;0;26;84;23277;728;3;0;0
ADOPT;0;graphColoring_1548893813037;5;3;1;10;0;0.4;0.0;0.4;0.0;0;56;8740;382604;456;0;infinity;infinity
DPOP;0;graphColoring_1548893813037;5;3;1;10;0;0.4;0.0;0.4;0.0;0;28;109;29869;1015;4;infinity;infinity
ADOPT;0;graphColoring_1548893814099;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;20;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893814099;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;24;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548893814670;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;25;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893814670;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;20;16;3808;417;1;0;0
ADOPT;0;graphColoring_1548893815328;3;3;1;5;0;0.4;0.0;0.4;0.0;0;30;80;9466;456;0;0;0
DPOP;0;graphColoring_1548893815328;3;3;1;5;0;0.4;0.0;0.4;0.0;0;28;32;7615;417;1;0;0
ADOPT;0;graphColoring_1548893815954;4;3;1;6;0;0.4;0.0;0.4;0.0;0;21;134;14174;456;0;0;0
DPOP;0;graphColoring_1548893815954;4;3;1;6;0;0.4;0.0;0.4;0.0;0;25;44;10823;475;2;0;0
ADOPT;0;graphColoring_1548893816588;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;31;4068;153759;456;0;0;0
DPOP;0;graphColoring_1548893816588;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;31;56;14026;473;2;0;0
ADOPT;0;graphColoring_1548893817443;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;28;497;34022;456;0;0;0
DPOP;0;graphColoring_1548893817443;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;26;72;18637;475;2;0;0
ADOPT;0;graphColoring_1548893818145;7;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;22;1850;86075;456;0;infinity;infinity
DPOP;0;graphColoring_1548893818145;7;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;28;88;23065;680;3;infinity;infinity
ADOPT;0;graphColoring_1548893819009;6;3;1;10;0;0.4;0.0;0.4;0.0;0;35;1194;72866;456;0;0;0
DPOP;0;graphColoring_1548893819009;6;3;1;10;0;0.4;0.0;0.4;0.0;0;28;108;29937;726;3;0;0
ADOPT;0;graphColoring_1548893819836;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;29;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893819836;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;22;8;1901;417;1;0;0
ADOPT;0;graphColoring_1548893820381;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893820381;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;20;16;3808;417;1;0;0
ADOPT;0;graphColoring_1548893821019;3;3;2;5;0;0.4;0.0;0.4;0.0;0;27;82;9056;456;0;0;0
DPOP;0;graphColoring_1548893821019;3;3;2;5;0;0.4;0.0;0.4;0.0;0;23;28;7012;475;2;0;0
ADOPT;0;graphColoring_1548893821629;4;3;1;6;0;0.4;0.0;0.4;0.0;0;27;134;14174;456;0;0;0
DPOP;0;graphColoring_1548893821629;4;3;1;6;0;0.4;0.0;0.4;0.0;0;26;44;10815;473;2;0;0
ADOPT;0;graphColoring_1548893822292;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;30;517;31184;456;0;0;0
DPOP;0;graphColoring_1548893822292;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;25;57;14302;475;2;0;0
ADOPT;0;graphColoring_1548893823063;7;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;33;946;49900;456;0;0;0
DPOP;0;graphColoring_1548893823063;7;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;27;72;18516;473;2;0;0
ADOPT;0;graphColoring_1548893823809;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;32;592;43608;456;0;0;0
DPOP;0;graphColoring_1548893823809;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;28;88;24025;728;3;0;0
ADOPT;0;graphColoring_1548893824550;6;3;1;10;0;0.4;0.0;0.4;0.0;0;35;1250;73939;456;0;infinity;infinity
DPOP;0;graphColoring_1548893824550;6;3;1;10;0;0.4;0.0;0.4;0.0;0;26;108;31004;1231;4;infinity;infinity
ADOPT;0;graphColoring_1548893825400;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893825400;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548893825959;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893825959;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;22;16;3802;417;1;0;0
ADOPT;0;graphColoring_1548893826551;3;3;2;5;0;0.4;0.0;0.4;0.0;0;26;79;8985;456;0;0;0
DPOP;0;graphColoring_1548893826551;3;3;2;5;0;0.4;0.0;0.4;0.0;0;23;28;7008;473;2;0;0
ADOPT;0;graphColoring_1548893827187;3;3;1;6;0;0.4;0.0;0.4;0.0;0;21;150;14911;456;0;0;0
DPOP;0;graphColoring_1548893827187;3;3;1;6;0;0.4;0.0;0.4;0.0;0;29;45;10974;473;2;0;0
ADOPT;0;graphColoring_1548893827891;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;30;259;20937;456;0;0;0
DPOP;0;graphColoring_1548893827891;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;28;52;13407;475;2;0;0
ADOPT;0;graphColoring_1548893828580;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;29;593;37648;456;0;0;0
DPOP;0;graphColoring_1548893828580;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;28;72;18632;475;2;0;0
ADOPT;0;graphColoring_1548893829349;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;29;760;50128;456;0;0;0
DPOP;0;graphColoring_1548893829349;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;33;88;23690;728;3;0;0
ADOPT;0;graphColoring_1548893830109;5;3;1;10;0;0.4;0.0;0.4;0.0;0;30;2098;105604;456;0;0;0
DPOP;0;graphColoring_1548893830109;5;3;1;10;0;0.4;0.0;0.4;0.0;0;27;109;30016;1305;4;0;0
ADOPT;0;graphColoring_1548893830929;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893830929;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548893831496;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;19;28;4368;456;0;0;0
DPOP;0;graphColoring_1548893831496;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;15;16;3800;417;1;0;0
ADOPT;0;graphColoring_1548893832134;2;3;1;5;0;0.4;0.0;0.4;0.0;0;27;87;9853;456;0;0;0
DPOP;0;graphColoring_1548893832134;2;3;1;5;0;0.4;0.0;0.4;0.0;0;26;33;7658;417;1;0;0
ADOPT;0;graphColoring_1548893832741;4;3;1;6;0;0.4;0.0;0.4;0.0;0;30;132;14056;456;0;0;0
DPOP;0;graphColoring_1548893832741;4;3;1;6;0;0.4;0.0;0.4;0.0;0;24;44;10821;473;2;0;0
ADOPT;0;graphColoring_1548893833409;3;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;28;265;21754;456;0;0;0
DPOP;0;graphColoring_1548893833409;3;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;23;55;13666;475;2;0;0
ADOPT;0;graphColoring_1548893834104;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;33;447;33787;456;0;0;0
DPOP;0;graphColoring_1548893834104;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;27;73;19242;728;3;0;0
ADOPT;0;graphColoring_1548893834820;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;34;837;51128;456;0;0;0
DPOP;0;graphColoring_1548893834820;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;32;88;23562;728;3;0;0
ADOPT;0;graphColoring_1548893835578;6;3;1;10;0;0.4;0.0;0.4;0.0;0;34;2275;115662;456;0;infinity;infinity
DPOP;0;graphColoring_1548893835578;6;3;1;10;0;0.4;0.0;0.4;0.0;0;28;108;31456;1447;4;infinity;infinity
ADOPT;0;graphColoring_1548893836479;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;22;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893836479;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;22;8;1897;417;1;0;0
ADOPT;0;graphColoring_1548893837034;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893837034;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;20;16;3802;417;1;0;0
ADOPT;0;graphColoring_1548893837616;2;3;2;5;0;0.4;0.0;0.4;0.0;0;21;94;9720;456;0;0;0
DPOP;0;graphColoring_1548893837616;2;3;2;5;0;0.4;0.0;0.4;0.0;0;26;29;7158;473;2;0;0
ADOPT;0;graphColoring_1548893838280;3;3;1;6;0;0.4;0.0;0.4;0.0;0;27;153;15019;456;0;0;0
DPOP;0;graphColoring_1548893838280;3;3;1;6;0;0.4;0.0;0.4;0.0;0;25;45;10978;475;2;0;0
ADOPT;0;graphColoring_1548893838925;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;30;289;23515;456;0;0;0
DPOP;0;graphColoring_1548893838925;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;25;61;14614;678;3;0;0
ADOPT;0;graphColoring_1548893839594;4;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;40;1146;63620;456;0;infinity;infinity
DPOP;0;graphColoring_1548893839594;4;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;23;71;18354;676;3;infinity;infinity
ADOPT;0;graphColoring_1548893840337;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;31;864;57095;456;0;0;0
DPOP;0;graphColoring_1548893840337;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;28;88;25290;1401;4;0;0
ADOPT;0;graphColoring_1548893841156;6;3;2;10;0;0.4;0.0;0.4;0.0;0;28;2891;146507;456;0;infinity;infinity
DPOP;0;graphColoring_1548893841156;6;3;2;10;0;0.4;0.0;0.4;0.0;0;23;104;29031;1159;4;infinity;infinity
ADOPT;0;graphColoring_1548893842004;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;20;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893842004;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548893842571;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;19;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893842571;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;20;16;3808;417;1;0;0
ADOPT;0;graphColoring_1548893843153;3;3;2;5;0;0.4;0.0;0.4;0.0;0;27;80;8991;456;0;0;0
DPOP;0;graphColoring_1548893843153;3;3;2;5;0;0.4;0.0;0.4;0.0;0;24;28;7010;475;2;0;0
ADOPT;0;graphColoring_1548893843833;3;3;1;6;0;0.4;0.0;0.4;0.0;0;21;165;15305;456;0;0;0
DPOP;0;graphColoring_1548893843833;3;3;1;6;0;0.4;0.0;0.4;0.0;0;26;44;10813;473;2;0;0
ADOPT;0;graphColoring_1548893844474;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;23;321;23964;456;0;0;0
DPOP;0;graphColoring_1548893844474;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;27;57;14180;475;2;0;0
ADOPT;0;graphColoring_1548893845151;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;32;537;38035;456;0;0;0
DPOP;0;graphColoring_1548893845151;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;29;72;19059;728;3;0;0
ADOPT;0;graphColoring_1548893845875;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;25;989;58642;456;0;0;0
DPOP;0;graphColoring_1548893845875;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;27;89;23607;680;3;0;0
ADOPT;0;graphColoring_1548893846650;6;3;1;10;0;0.4;0.0;0.4;0.0;0;38;3360;156435;456;0;infinity;infinity
DPOP;0;graphColoring_1548893846650;6;3;1;10;0;0.4;0.0;0.4;0.0;0;30;109;29783;1161;4;infinity;infinity
ADOPT;0;graphColoring_1548893847599;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;25;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893847599;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;24;8;1901;417;1;0;0
ADOPT;0;graphColoring_1548893848180;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;29;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893848180;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;20;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548893848768;2;3;2;5;0;0.4;0.0;0.4;0.0;0;18;71;8790;456;0;0;0
DPOP;0;graphColoring_1548893848768;2;3;2;5;0;0.4;0.0;0.4;0.0;0;24;29;7043;471;2;0;0
ADOPT;0;graphColoring_1548893849434;3;3;1;6;0;0.4;0.0;0.4;0.0;0;22;173;15815;456;0;0;0
DPOP;0;graphColoring_1548893849434;3;3;1;6;0;0.4;0.0;0.4;0.0;0;25;44;10935;475;2;0;0
ADOPT;0;graphColoring_1548893850072;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;29;278;22752;456;0;0;0
DPOP;0;graphColoring_1548893850072;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;26;56;14141;475;2;0;0
ADOPT;0;graphColoring_1548893850744;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;29;410;31055;456;0;0;0
DPOP;0;graphColoring_1548893850744;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;29;72;18526;475;2;0;0
ADOPT;0;graphColoring_1548893851442;4;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;39;780;51382;456;0;0;0
DPOP;0;graphColoring_1548893851442;4;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;30;92;25843;1449;4;0;0
ADOPT;0;graphColoring_1548893852217;7;3;1;10;0;0.4;0.0;0.4;0.0;0;34;1805;95071;456;0;0;0
DPOP;0;graphColoring_1548893852217;7;3;1;10;0;0.4;0.0;0.4;0.0;0;29;108;29438;728;3;0;0
ADOPT;0;graphColoring_1548893853058;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;28;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893853058;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;26;8;1901;417;1;0;0
ADOPT;0;graphColoring_1548893853622;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;25;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893853622;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;22;16;3804;417;1;0;0
ADOPT;0;graphColoring_1548893854261;3;3;1;5;0;0.4;0.0;0.4;0.0;0;26;80;9466;456;0;0;0
DPOP;0;graphColoring_1548893854261;3;3;1;5;0;0.4;0.0;0.4;0.0;0;26;32;7615;417;1;0;0
ADOPT;0;graphColoring_1548893854871;4;3;2;6;0;0.4;0.0;0.4;0.0;0;28;139;13782;456;0;0;0
DPOP;0;graphColoring_1548893854871;4;3;2;6;0;0.4;0.0;0.4;0.0;0;24;40;10212;473;2;0;0
ADOPT;0;graphColoring_1548893855508;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;24;253;21363;456;0;0;0
DPOP;0;graphColoring_1548893855508;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;25;56;14141;475;2;0;0
ADOPT;0;graphColoring_1548893856195;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;22;389;29725;456;0;0;0
DPOP;0;graphColoring_1548893856195;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;26;72;18532;475;2;0;0
ADOPT;0;graphColoring_1548893856875;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;28;1843;87635;456;0;infinity;infinity
DPOP;0;graphColoring_1548893856875;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;28;88;23145;676;3;infinity;infinity
ADOPT;0;graphColoring_1548893857667;7;3;1;10;0;0.4;0.0;0.4;0.0;0;39;4340;235966;456;0;infinity;infinity
DPOP;0;graphColoring_1548893857667;7;3;1;10;0;0.4;0.0;0.4;0.0;0;27;108;31526;2372;5;infinity;infinity
ADOPT;0;graphColoring_1548893858662;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893858662;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;24;8;1897;417;1;0;0
ADOPT;0;graphColoring_1548893859218;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;25;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893859218;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;20;16;3808;417;1;0;0
ADOPT;0;graphColoring_1548893859811;2;3;1;5;0;0.4;0.0;0.4;0.0;0;31;89;9936;456;0;0;0
DPOP;0;graphColoring_1548893859811;2;3;1;5;0;0.4;0.0;0.4;0.0;0;24;33;7656;417;1;0;0
ADOPT;0;graphColoring_1548893860453;4;3;2;6;0;0.4;0.0;0.4;0.0;0;22;274;18843;456;0;0;0
DPOP;0;graphColoring_1548893860453;4;3;2;6;0;0.4;0.0;0.4;0.0;0;23;40;10210;475;2;0;0
ADOPT;0;graphColoring_1548893861109;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;34;215;19947;456;0;0;0
DPOP;0;graphColoring_1548893861109;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;24;56;14143;475;2;0;0
ADOPT;0;graphColoring_1548893861755;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;29;421;32300;456;0;0;0
DPOP;0;graphColoring_1548893861755;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;29;74;19017;726;3;0;0
ADOPT;0;graphColoring_1548893862461;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;33;615;44101;456;0;0;0
DPOP;0;graphColoring_1548893862461;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;27;88;23696;678;3;0;0
ADOPT;0;graphColoring_1548893863189;5;3;1;10;0;0.4;0.0;0.4;0.0;0;28;1571;91389;456;0;infinity;infinity
DPOP;0;graphColoring_1548893863189;5;3;1;10;0;0.4;0.0;0.4;0.0;0;28;108;30757;1353;4;infinity;infinity
ADOPT;0;graphColoring_1548893864067;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;29;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893864067;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;26;8;1901;417;1;0;0
ADOPT;0;graphColoring_1548893864631;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;17;28;4368;456;0;0;0
DPOP;0;graphColoring_1548893864631;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;17;16;3802;417;1;0;0
ADOPT;0;graphColoring_1548893865230;3;3;2;5;0;0.4;0.0;0.4;0.0;0;22;80;8991;456;0;0;0
DPOP;0;graphColoring_1548893865230;3;3;2;5;0;0.4;0.0;0.4;0.0;0;22;28;7008;473;2;0;0
ADOPT;0;graphColoring_1548893865995;3;3;1;6;0;0.4;0.0;0.4;0.0;0;31;236;17782;456;0;0;0
DPOP;0;graphColoring_1548893865995;3;3;1;6;0;0.4;0.0;0.4;0.0;0;26;44;10816;473;2;0;0
ADOPT;0;graphColoring_1548893866652;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;31;265;21690;456;0;0;0
DPOP;0;graphColoring_1548893866652;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;31;56;14020;475;2;0;0
ADOPT;0;graphColoring_1548893867391;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;31;431;31277;456;0;0;0
DPOP;0;graphColoring_1548893867391;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;25;68;18133;680;3;0;0
ADOPT;0;graphColoring_1548893868204;4;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;32;739;50481;456;0;0;0
DPOP;0;graphColoring_1548893868204;4;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;31;93;24641;728;3;0;0
ADOPT;0;graphColoring_1548893868948;5;3;1;10;0;0.4;0.0;0.4;0.0;0;33;3165;159845;456;0;infinity;infinity
DPOP;0;graphColoring_1548893868948;5;3;1;10;0;0.4;0.0;0.4;0.0;0;26;113;31112;1305;4;infinity;infinity
ADOPT;0;graphColoring_1548893869841;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;20;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893869841;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;19;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548893870487;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;19;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893870487;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;23;16;3808;417;1;0;0
ADOPT;0;graphColoring_1548893871129;2;3;2;5;0;0.4;0.0;0.4;0.0;0;16;71;8790;456;0;0;0
DPOP;0;graphColoring_1548893871129;2;3;2;5;0;0.4;0.0;0.4;0.0;0;19;29;7045;473;2;0;0
ADOPT;0;graphColoring_1548893871823;3;3;2;6;0;0.4;0.0;0.4;0.0;0;34;144;14315;456;0;0;0
DPOP;0;graphColoring_1548893871823;3;3;2;6;0;0.4;0.0;0.4;0.0;0;23;40;10321;475;2;0;0
ADOPT;0;graphColoring_1548893872550;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;29;234;20831;456;0;0;0
DPOP;0;graphColoring_1548893872550;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;27;62;14436;475;2;0;0
ADOPT;0;graphColoring_1548893873230;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;32;539;36887;456;0;0;0
DPOP;0;graphColoring_1548893873230;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;29;73;18953;728;3;0;0
ADOPT;0;graphColoring_1548893873967;7;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;26;519;40643;456;0;0;0
DPOP;0;graphColoring_1548893873967;7;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;28;88;23696;680;3;0;0
ADOPT;1;graphColoring_1548893874708;5;3;1;10;0;0.4;0.0;0.4;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;graphColoring_1548893874708;5;3;1;10;0;0.4;0.0;0.4;0.0;0;28;108;31095;1353;4;infinity;infinity
ADOPT;0;graphColoring_1548894579356;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548894579356;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1897;417;1;0;0
ADOPT;0;graphColoring_1548894579941;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;25;32;4474;456;0;0;0
DPOP;0;graphColoring_1548894579941;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;22;16;3808;417;1;0;0
ADOPT;0;graphColoring_1548894580534;3;3;2;5;0;0.4;0.0;0.4;0.0;0;27;80;9080;456;0;0;0
DPOP;0;graphColoring_1548894580534;3;3;2;5;0;0.4;0.0;0.4;0.0;0;23;28;7008;473;2;0;0
ADOPT;0;graphColoring_1548894581175;3;3;1;6;0;0.4;0.0;0.4;0.0;0;21;163;15328;456;0;0;0
DPOP;0;graphColoring_1548894581175;3;3;1;6;0;0.4;0.0;0.4;0.0;0;27;44;10818;473;2;0;0
ADOPT;0;graphColoring_1548894581870;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;31;249;20864;456;0;0;0
